title,genres,actors,release_date,imdb_rating,summary,poster_path,wiki_link
Ram Lakhan,Action | Drama | Musical,Rakhee Gulzar | Jackie Shroff | Anil Kapoor | Dimple Kapadia | Madhuri Dixit | Gulshan Grover | Amrish Puri | Paresh Rawal | Anupam Kher | Saeed Jaffrey | Raza Murad | Dalip Tahil | Annu Kapoor | Satish Kaushik,27 January 1989 (India),6.8,Sharda (Raakhee) vows vengeance when her husband is murdered by his two evil cousins  Bhishamber (Amrish Puri) and Bhanu (Paresh Rawal)  and she and her two young sons are thrown out on the...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Ram_Lakhan_poster.jpg/220px-Ram_Lakhan_poster.jpg,https://en.wikipedia.org/wiki/Ram_Lakhan
Tridev,Action | Crime | Drama,Naseeruddin Shah | Sunny Deol | Jackie Shroff | Madhuri Dixit | Sonam | Sangeeta Bijlani | Anupam Kher | Amrish Puri | Raza Murad | Dalip Tahil | Sharat Saxena | Tej Sapru | Dan Dhanoa | Rajesh Vivek,7 July 1989 (India),6.3,A honest but disgraced Police Inspector's attempts to clear his name pits him against terrorists and the brother of his sweetheart.,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Tridevfilm.jpg/220px-Tridevfilm.jpg,https://en.wikipedia.org/wiki/Tridev
ChaalBaaz,Action | Comedy | Drama,Sridevi | Sunny Deol | Rajinikanth | Anupam Kher | Shakti Kapoor | Annu Kapoor | Saeed Jaffrey | Aruna Irani | Rohini Hattangadi | Aftab Shivdasani,8 December 1989 (India),6.7,Twins separated at infancy are brought up differently. One weak  one strong. One day  they end up at each others house. Their life is not the same anymore.,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/ChaalBaaz.jpg/220px-ChaalBaaz.jpg,https://en.wikipedia.org/wiki/ChaalBaaz
Batwara,Action | Drama,Dharmendra | Vinod Khanna | Dimple Kapadia | Poonam Dhillon | Amrita Singh | Amrish Puri | Shammi Kapoor | Vijayendra Ghatge | Neena Gupta | Asha Parekh | Kulbhushan Kharbanda,14 July 1989 (India),6.5,In India circa after the British Rule  there is a princely family consisting of Bade Thakur (Shammi Kapoor)  his sons Devan (Vijayendra Ghatge)  Vikram Singh (Vinod Khanna)  and a third son...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Batwara_poster.jpg/220px-Batwara_poster.jpg,https://en.wikipedia.org/wiki/Batwara
Bhrashtachar,Action | Crime | Drama,Rekha | Mithun Chakraborty | Anupam Kher | Raza Murad | Anjana Mumtaz | Abhinav Chaturvedi | Shilpa Shirodkar | Rajinikanth | Padma Khanna | Sudhir Pandey | Vinod Nagpal | Girja Shankar | Vikas Anand | Bharti Achrekar,22 November 1989 (India),4.7,Bhrastachar tells the story of a disparate group of characters whose lives overlap- Bhavani  a journalist fighting injustice and corruption; Janki a widow who becomes the mistress of local ...                    ,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Bhrashtachar.jpg/220px-Bhrashtachar.jpg,https://en.wikipedia.org/wiki/Bhrashtachar
Maine Pyar Kiya,Drama | Family | Musical,Salman Khan | Bhagyashree | Alok Nath | Rajeev Verma | Reema Lagoo | Ajit Vachani | Harish Patel | Deep Dhillon | Huma Khan | Handsome | Pervin Dastur | Shreechand Makhija | Rakesh Shrivastav | Dilip Joshi,29 December 1989 (India),7.3,After Suman's father leaves her in the care of another family while he travels abroad  she falls in love with Prem. However  in order to for them to marry  Prem has to prove to Suman's father that he is not the same as his own dad.,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Maine_Pyar_Kiya.jpg/220px-Maine_Pyar_Kiya.jpg,https://en.wikipedia.org/wiki/Maine_Pyar_Kiya
Dana Paani,Action | Crime | Drama,Mithun Chakraborty | Padmini Kolhapure | Nirupa Roy | Shafi Inamdar | Sadashiv Amrapurkar | Aruna Irani | Madhu Malhotra | Manik Irani | Raj Tilak | Sharat Saxena | Sudhir Dalvi | Rajesh Puri | Shreeram Lagoo | Mohan Choti,16 June 1989 (India),5.4,Charged with the brutal killing of Savitri and Kutti  facing a death-sentence  or life in prison  accused Bombay taxi-driver  Satyaprakash Tripathi  prosecuted by his very own brother  ...                    ,https://upload.wikimedia.org/wikipedia/en/9/99/Dana_Paanifilm.jpg,https://en.wikipedia.org/wiki/Dana_Paani
Chandni,Drama | Musical | Romance,Sridevi | Rishi Kapoor | Vinod Khanna | Waheeda Rehman | Anupam Kher | Sushma Seth | Achala Sachdev | Beena Banerjee | Manohar Singh | Renu Arya | Mita Vasisht | Asha Sharma | Ananth Narayan Mahadevan | Manju Maini,14 September 1989 (India),6.8,Fate leaves Chandni shattered as her love Rohit disappears from her life. She meets Lalit and they befriend each other until Rohit knocks on her door.,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Chandni_poster.jpg/220px-Chandni_poster.jpg,https://en.wikipedia.org/wiki/Chandni
Eeshwar (1989 film),Drama | Family | Musical,Anil Kapoor | Vijayshanti | Vinod Mehra | Asha Sachdev | Shammi | Bharti Achrekar | Sadashiv Amrapurkar | Saeed Jaffrey | Gulshan Grover | Agha | Jayshree Gadkar | Vikram Gokhale | Rakesh Pandey | Kamal Joshi,24 February 1989 (India),7.3,Ishwar is a simple-minded and honest young man  devout and religious  he cares for everybody. He meets with a young widow with a son and marries her. This story is about him and his trials and triumphs.,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Eshwarfilm.jpg/220px-Eshwarfilm.jpg,https://en.wikipedia.org/wiki/Eeshwar_(1989_film)
Do Qaidi,Action | Adventure,Sanjay Dutt | Govinda | Farha Naaz | Neelam Kothari | Amrish Puri | Gulshan Grover | Suresh Oberoi | Ranjeeta Kaur | Vikas Anand | Shubha Khote | Gita Siddharth | Baby Guddu | Master Sudhanshu | Kamal Kapoor,15 February 1989 (India),5.3,"Manu and Kanu are two con-men and petty thieves who work alone and are not known to one another. They individually decide to work for underground criminal Don ""K.K.""  and K.K. accepts them....                    ",https://upload.wikimedia.org/wikipedia/en/thumb/4/42/Do_Qaidi.jpg/220px-Do_Qaidi.jpg,https://en.wikipedia.org/wiki/Do_Qaidi
