title,genres,actors,imdb_rating,year_of_release
Aag Ka Gola,action|drama,sunny deol|dimple kapadia|archana puran singh|shakti kapoor|prem chopra|om shivpuri|raza murad|anjana mumtaz|mahesh anand|sharat saxena|atlee brar|gurbachan singh|bob christo|jagdish raj|,5.4,1990
Ram Lakhan,action|drama|musical,rakhee gulzar|jackie shroff|anil kapoor|dimple kapadia|madhuri dixit|gulshan grover|amrish puri|paresh rawal|anupam kher|saeed jaffrey|raza murad|dalip tahil|annu kapoor|satish kaushik|,6.8,1989
Asmaan Se Ooncha,action|drama|family,jeetendra|raj babbar|anita raj|govinda|sonam|sujit kumar|sadashiv amrapurkar|ajitesh|dev kumar|mac mohan|jagdish raj|jaya mathur|coca cola|k.k. raj|,5.0,1989
Tridev,action|crime|drama,naseeruddin shah|sunny deol|jackie shroff|madhuri dixit|sonam|sangeeta bijlani|anupam kher|amrish puri|raza murad|dalip tahil|sharat saxena|tej sapru|dan dhanoa|rajesh vivek|,6.3,1989
ChaalBaaz,action|comedy|drama,sridevi|sunny deol|rajinikanth|anupam kher|shakti kapoor|annu kapoor|saeed jaffrey|aruna irani|rohini hattangadi|aftab shivdasani|,6.7,1989
Batwara,action|drama,dharmendra|vinod khanna|dimple kapadia|poonam dhillon|amrita singh|amrish puri|shammi kapoor|vijayendra ghatge|neena gupta|asha parekh|kulbhushan kharbanda|,6.5,1989
Bade Ghar Ki Beti,drama,shammi kapoor|rishi kapoor|meenakshi sheshadri|raj kiran|satish shah|gulshan grover|aruna irani|shoma anand|jayshree t.|ashok saraf|sushma seth|c.s. dubey|pinchoo kapoor|shivraj|,5.8,1989
Bhrashtachar,action|crime|drama,rekha|mithun chakraborty|anupam kher|raza murad|anjana mumtaz|abhinav chaturvedi|shilpa shirodkar|rajinikanth|padma khanna|sudhir pandey|vinod nagpal|girja shankar|vikas anand|bharti achrekar|,4.7,1989
Maine Pyar Kiya,drama|family|musical,salman khan|bhagyashree|alok nath|rajeev verma|reema lagoo|ajit vachani|harish patel|deep dhillon|huma khan|handsome|pervin dastur|shreechand makhija|rakesh shrivastav|dilip joshi|,7.3,1989
Daata,action|drama,tom alter|shoma anand|arun bakshi|brahm bhardwaj|bharat bhushan|birbal|mithun chakraborty|prem chopra|anil dhawan|saeed jaffrey|jamuna|pallavi joshi|kamal kapoor|satyendra kapoor|,5.6,1989
Dav Pech,action,jeetendra|bhanupriya|prem chopra|shakti kapoor|,4.1,1989
Daddy (1989 film),drama,sulabha arya|pooja bhatt|sakshi bhatt|shaheen bhatt|avtar gill|neena gupta|suhas joshi|satish kaushik|anupam kher|akash khurana|pramod moutho|soni razdan|manohar singh|,7.4,1989
Dana Paani,action|crime|drama,mithun chakraborty|padmini kolhapure|nirupa roy|shafi inamdar|sadashiv amrapurkar|aruna irani|madhu malhotra|manik irani|raj tilak|sharat saxena|sudhir dalvi|rajesh puri|shreeram lagoo|mohan choti|,5.4,1989
Chandni,drama|musical|romance,sridevi|rishi kapoor|vinod khanna|waheeda rehman|anupam kher|sushma seth|achala sachdev|beena banerjee|manohar singh|renu arya|mita vasisht|asha sharma|ananth narayan mahadevan|manju maini|,6.8,1989
Eeshwar (1989 film),drama|family|musical,anil kapoor|vijayshanti|vinod mehra|asha sachdev|shammi|bharti achrekar|sadashiv amrapurkar|saeed jaffrey|gulshan grover|agha|jayshree gadkar|vikram gokhale|rakesh pandey|kamal joshi|,7.3,1989
Do Qaidi,action|adventure,sanjay dutt|govinda|farha naaz|neelam kothari|amrish puri|gulshan grover|suresh oberoi|ranjeeta kaur|vikas anand|shubha khote|gita siddharth|baby guddu|master sudhanshu|kamal kapoor|,5.3,1989
Gair Kanooni,action|comedy|drama,sridevi|govinda|kimi katkar|rajinikanth|satyendra kapoor|tej sapru|mukri|pinchoo kapoor|aruna irani|rohini hattangadi|ashalata wabgaonkar|sagar solanki|viju khote|moolchand|,5.5,1989
Gawaahi,mystery,zeenat aman|vikram gokhale|ashutosh gowariker|shekhar kapur|ranjeeta kaur|avinash kharshikar|rakesh pathwardhan|shammi|tanuja|hosi vasunia|,5.2,1989
Chingari (1989 film),action|crime|drama,kumar gaurav|juhi chawla|tinnu anand|benny jacob|binju ali|agha|sulabha arya|prajakta rana|carlton starr|victoria fernandez|anil kudchadkar|rajan|bhagwant deshpande|joy augustine|,6.0,1989
Goonj (1989 film),action|crime|drama,kumar gaurav|juhi chawla|tinnu anand|benny jacob|binju ali|agha|sulabha arya|prajakta rana|carlton starr|victoria fernandez|anil kudchadkar|rajan|bhagwant deshpande|joy augustine|,6.0,1989
Hero Hiralal,action|comedy|drama,naseeruddin shah|sanjana kapoor|deepa sahi|kiran kumar|rohini hattangadi|saeed jaffrey|satish shah|mohan gokhale|johnny lever|dilip dhawan|deepak qazir|ahmad khan|rahul chowdhary|hosi vasunia|,6.3,1988
Ghar Ka Chiraag,drama,rajesh khanna|neelam kothari|chunky pandey|om shivpuri|arun bakshi|shafi inamdar|,6.1,1989
Guru (1989 film),crime,mithun chakraborty|sridevi|shakti kapoor|roopesh kumar|amrit pal|yunus parvez|bob christo|arun bakshi|sameer khakhar|seema deo|javed khan|,6.6,1989
Joshilaay,action|drama|western,sunny deol|anil kapoor|sridevi|meenakshi sheshadri|kulbhushan kharbanda|rajesh vivek|satyendra kapoor|alok nath|prema narayan|rajesh puri|rama vij|bharat bhushan|master jatin khurana|harjeet walia|,5.7,1989
Hisaab Khoon Ka,drama|mystery,mithun chakraborty|poonam dhillon|mandakini|raj babbar|,5.8,1989
Hum Bhi Insaan Hain (1989 film),action|crime|drama,sanjay dutt|jackie shroff|neelam kothari|jaya prada|kader khan|sonam|raj babbar|ranjeet|asrani|,6.0,1989
Ilaaka,action|drama,mithun chakraborty|sanjay dutt|madhuri dixit|amrish puri|amrita singh|dalip tahil|a.k. hangal|goga kapoor|dharmendra|rakhee gulzar|mac mohan|johnny lever|om puri|avtar gill|,4.7,1989
